open,low,high,close,change,changepercent,date miladi,date shamsi
"597,400","586,800","627,000","614,500",13800,2.30%,25/05/2024,1403/03/05
"596,000","584,600","606,200","600,700",300,0.05%,23/05/2024,1403/03/03
"603,000","597,800","607,800","601,000",3700,0.62%,22/05/2024,1403/03/02
"611,000","594,500","622,900","604,700",900,0.15%,21/05/2024,1403/03/01
"608,700","598,000","611,900","605,600",3000,0.50%,20/05/2024,1403/02/31
"614,400","600,900","621,700","608,600",900,0.15%,19/05/2024,1403/02/30
"610,700","596,300","622,600","607,700",7100,1.18%,18/05/2024,1403/02/29
"615,200","593,900","625,600","600,600",3300,0.55%,16/05/2024,1403/02/27
"602,900","586,700","613,400","597,300",2300,0.39%,15/05/2024,1403/02/26
"594,850","594,800","595,600","595,000",34000,5.71%,14/05/2024,1403/02/25
"620,200","614,500","634,400","629,000",27400,4.55%,13/05/2024,1403/02/24
"604,800","589,800","609,600","601,600",32100,5.34%,12/05/2024,1403/02/23
"627,700","621,200","641,000","633,700",900,0.14%,11/05/2024,1403/02/22
"632,100","627,100","647,100","634,600",35100,5.85%,09/05/2024,1403/02/20
"631,200","594,200","637,700","599,500",2300,0.39%,08/05/2024,1403/02/19
"608,000","586,800","616,600","597,200",5000,0.84%,07/05/2024,1403/02/18
"609,000","595,100","612,300","602,200",3900,0.65%,06/05/2024,1403/02/17
"621,500","599,200","633,300","606,100",8800,1.47%,05/05/2024,1403/02/16
"622,300","591,300","631,800","597,300",33700,5.64%,02/05/2024,1403/02/13
"615,900","605,000","643,400","631,000",13100,2.08%,01/05/2024,1403/02/12
"621,400","613,100","653,100","644,100",16600,2.65%,30/04/2024,1403/02/11
"610,000","605,900","635,000","627,500",7400,1.19%,29/04/2024,1403/02/10
"614,300","608,500","626,600","620,100",19500,3.25%,28/04/2024,1403/02/09
"637,200","595,600","643,000","600,600",43600,7.26%,27/04/2024,1403/02/08
"608,000","598,200","649,600","644,200",30500,4.97%,25/04/2024,1403/02/06
"631,400","606,000","642,500","613,700",4600,0.75%,24/04/2024,1403/02/05
"596,000","586,600","625,400","618,300",21800,3.53%,23/04/2024,1403/02/04
"616,300","612,600","648,600","640,100",12500,1.99%,22/04/2024,1403/02/03
"597,300","594,100","634,500","627,600",1400,0.22%,21/04/2024,1403/02/02
"621,400","609,900","634,000","629,000",28100,4.68%,20/04/2024,1403/02/01
"637,300","596,800","644,100","600,900",3000,0.50%,18/04/2024,1403/01/30
"622,500","593,200","633,200","597,900",21300,3.56%,17/04/2024,1403/01/29
"626,700","607,300","633,700","619,200",19200,3.10%,16/04/2024,1403/01/28
"637,100","624,300","645,200","638,400",19600,3.17%,15/04/2024,1403/01/27
"622,700","611,600","630,200","618,800",22200,3.59%,14/04/2024,1403/01/26
"615,700","610,200","645,900","641,000",4000,0.63%,13/04/2024,1403/01/25
"624,600","613,100","640,500","637,000",28300,4.65%,09/04/2024,1403/01/21
"637,200","604,000","643,400","608,700",31300,5.14%,08/04/2024,1403/01/20
"606,800","594,000","643,300","640,000",7000,1.09%,07/04/2024,1403/01/19
"647,000","647,000","647,000","647,000",6000,0.94%,06/04/2024,1403/01/18
"635,620","635,500","644,100","641,000",6260,0.99%,04/04/2024,1403/01/16
"627,730","627,500","634,750","634,740",1840,0.29%,03/04/2024,1403/01/15
"623,120","623,000","632,900","632,900",14566,2.36%,02/04/2024,1403/01/14
"620,645","607,884","627,285","618,334",1754,0.28%,30/03/2024,1403/01/11
"617,050","615,750","617,100","616,580",2630,0.43%,28/03/2024,1403/01/09
"608,000","607,950","614,100","613,950",5570,0.92%,27/03/2024,1403/01/08
"612,600","607,870","612,600","608,380",5650,0.93%,26/03/2024,1403/01/07
"616,550","613,750","617,090","614,030",4070,0.66%,25/03/2024,1403/01/06
"608,730","608,700","618,440","618,100",14590,2.42%,24/03/2024,1403/01/05
"600,320","600,270","604,100","603,510",3250,0.54%,18/03/2024,1402/12/28
"600,250","599,750","603,600","600,260",820,0.14%,17/03/2024,1402/12/27
"595,280","593,000","601,100","601,080",7280,1.23%,16/03/2024,1402/12/26
"595,330","591,900","595,340","593,800",1540,0.26%,14/03/2024,1402/12/24
"596,750","592,250","597,030","595,340",1750,0.29%,13/03/2024,1402/12/23
"598,830","595,560","599,600","597,090",2320,0.39%,12/03/2024,1402/12/22
"593,320","592,550","600,100","599,410",6560,1.11%,11/03/2024,1402/12/21
"601,070","592,250","601,070","592,850",12490,2.11%,10/03/2024,1402/12/20
"608,930","603,750","609,600","605,340",299,0.05%,09/03/2024,1402/12/19
"609,152","595,100","615,852","605,639",4251,0.70%,07/03/2024,1402/12/17
"609,370","604,150","610,600","609,890",420,0.07%,06/03/2024,1402/12/16
"606,720","598,165","620,988","609,470",4450,0.74%,05/03/2024,1402/12/15
"598,550","598,060","605,100","605,020",11630,1.96%,04/03/2024,1402/12/14
"592,990","590,750","595,600","593,390",260,0.04%,03/03/2024,1402/12/13
"592,390","591,750","601,100","593,130",8470,1.45%,02/03/2024,1402/12/12
"581,060","580,750","585,100","584,660",3570,0.61%,29/02/2024,1402/12/10
"588,080","579,260","588,600","581,090",4960,0.85%,28/02/2024,1402/12/09
"580,310","579,760","586,600","586,050",3559,0.61%,27/02/2024,1402/12/08
"573,221","567,144","592,684","582,491",9821,1.71%,26/02/2024,1402/12/07
"572,580","571,950","574,400","572,670",40,0.01%,24/02/2024,1402/12/05
"570,310","570,110","573,900","572,710",2420,0.42%,22/02/2024,1402/12/03
"567,450","567,270","572,100","570,290",5230,0.93%,21/02/2024,1402/12/02
"570,340","563,450","570,600","565,060",5300,0.94%,20/02/2024,1402/12/01
"569,990","568,950","572,100","570,360",940,0.16%,19/02/2024,1402/11/30
"565,310","564,810","571,400","571,300",8280,1.47%,18/02/2024,1402/11/29
"562,280","559,480","563,100","563,020",2750,0.49%,17/02/2024,1402/11/28
"557,210","556,450","560,800","560,270",4470,0.80%,15/02/2024,1402/11/26
"556,770","553,950","556,770","555,800",1110,0.20%,14/02/2024,1402/11/25
"551,460","551,450","554,900","554,690",2740,0.50%,13/02/2024,1402/11/24
"551,450","550,750","555,300","551,950",2930,0.53%,12/02/2024,1402/11/23
"552,900","548,260","552,900","549,020",8360,1.52%,10/02/2024,1402/11/21
"552,300","552,250","559,100","557,380",365,0.07%,07/02/2024,1402/11/18
"551,817","546,354","566,094","557,015",3135,0.57%,06/02/2024,1402/11/17
